,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
78,Leh,34.1667,77.5833,273.23,36,0,1.41
79,Capiíbary,-24.8,-56.0333,285.48,73,0,1.81
80,Mar del Plata,-38.0023,-57.5575,283.87,93,0,1.29
81,Campbell River,50.0163,-125.2446,287.34,55,75,3.09
82,Marzuq,14.4,46.4667,295.06,60,100,1.54
83,Fomboni,-12.28,43.7425,300.82,70,100,1.15
84,Leningradskiy,69.3833,178.4167,272.89,85,87,1.86
85,Nikolskoye,59.7035,30.7861,277.2,75,75,3.0
86,Cairns,-16.9167,145.7667,299.21,78,90,5.66
87,Cartagena del Chairá,1.3349,-74.8429,296.76,96,100,0.92
88,Burnie,-41.0667,145.9167,288.71,62,32,4.92
89,Magistral'nyy,56.1725,107.4458,270.52,59,74,5.5
90,Cobija,-11.0267,-68.7692,295.14,84,100,1.78
91,Porto-Novo,6.4965,2.6036,302.15,84,20,5.66
92,Ilo,-17.6394,-71.3375,292.75,82,52,3.13
93,Tuktoyaktuk,69.4541,-133.0374,262.15,73,1,6.69
94,Hithadhoo,-0.6,73.0833,301.16,61,6,1.41
95,Fethiye,36.6217,29.1164,287.15,62,0,4.12
96,Ixtapa,20.7,-105.2,299.7,74,75,4.12
97,Mitsamiouli,-11.3847,43.2844,300.29,73,71,3.23
98,Dargaville,-35.9333,173.8833,290.81,72,83,4.98
99,Riyadh,24.6877,46.7219,298.89,27,0,3.8
100,Santa Cruz de la Sierra,-17.8,-63.1667,291.15,82,0,1.54
101,Acaraú,-2.8856,-40.12,299.02,82,95,4.17
102,Río Gallegos,-51.6226,-69.2181,286.15,54,0,2.57
103,Santa Maria,-29.6842,-53.8069,285.15,94,0,0.51
104,Ketchikan,55.3422,-131.6461,288.15,47,1,6.69
105,Hrodna,53.6884,23.8258,270.53,93,17,3.09
106,Māngrol,21.1167,70.1167,299.61,77,3,4.37
107,Mossamedes,-15.1961,12.1522,296.74,73,0,3.18
108,Bredasdorp,-34.5322,20.0403,286.15,94,96,0.51
109,Quinarayan,17.4441,120.4722,304.25,46,98,1.03
110,Charlestown,-32.95,151.6667,294.64,71,38,1.31
111,Iquique,-20.2208,-70.1431,291.15,72,0,6.17
112,Katsuura,35.1333,140.3,287.4,62,20,4.12
113,Vardø,70.3705,31.1107,273.76,61,97,7.4
114,Ambilobe,-13.2,49.05,294.58,94,10,1.61
115,Dingle,10.9995,122.6711,302.06,62,19,4.46
116,Cherskiy,68.75,161.3,268.86,79,68,3.56
117,Rørvik,64.8621,11.2373,276.68,70,22,5.65
118,Midland,31.9974,-102.0779,303.93,6,1,4.12
119,Provideniya,64.3833,-173.3,277.15,65,0,2.0
120,Antofagasta,-23.65,-70.4,289.15,77,0,2.57
121,Nanortalik,60.1432,-45.2371,274.4,94,92,4.22
122,Vaini,-21.2,-175.2,298.15,94,90,2.06
123,Saint-Philippe,-21.3585,55.7679,295.32,73,90,8.75
124,Laguna,38.421,-121.4238,291.69,25,20,2.06
125,Mountain Home,43.133,-115.6912,282.15,61,40,4.12
126,Tapia,7.7542,126.0119,300.53,82,85,1.77
127,Phalaborwa,-23.943,31.1411,291.15,94,0,1.03
128,Banikoara,11.2985,2.4386,303.07,42,70,1.58
129,Chui,-33.6971,-53.4616,285.47,80,0,3.41
130,Salym,60.0625,71.4789,275.43,79,90,2.87
131,Saldanha,-33.0117,17.9442,290.15,94,8,4.63
132,Rundu,-17.9333,19.7667,288.34,41,0,1.89
133,Ahipara,-35.1667,173.1667,290.64,74,99,4.91
134,Pedersore,63.65,22.6833,271.8,93,0,1.54
135,Bluff,-46.6,168.3333,282.04,70,69,4.92
136,Dalhousie,32.5333,75.9833,284.68,41,1,4.68
137,Nichinan,31.6,131.3667,290.15,59,75,1.54
138,Muros,42.7762,-9.0603,285.12,90,20,0.89
139,Sai Buri,6.7013,101.6168,298.15,94,20,2.57
140,Kavieng,-2.5744,150.7967,302.17,68,67,1.77
141,Mount Gambier,-37.8333,140.7667,287.15,67,75,2.57
142,Nazca,-14.8333,-74.95,294.84,67,0,2.53
143,Ancud,-41.8697,-73.8203,284.73,94,90,3.09
144,Fremont,37.5483,-121.9886,287.24,48,20,5.14
145,Cabo San Lucas,22.8909,-109.9124,295.37,68,90,8.75
146,Hong Kong,22.2855,114.1577,295.48,88,100,6.85
147,South Shields,54.9986,-1.4323,280.71,87,77,2.06
148,Isangel,-19.55,169.2667,301.15,65,40,2.57
149,Arraial do Cabo,-22.9661,-42.0278,297.07,78,100,1.69
150,Sitka,57.0531,-135.33,284.15,71,75,2.39
151,Leshukonskoye,64.8989,45.7622,273.64,96,100,2.94
152,Ponta do Sol,32.6667,-17.1,286.25,79,59,1.34
153,Dawei,14.0833,98.2,299.28,87,100,0.76
154,Lethem,3.3803,-59.7968,297.37,92,100,5.06
155,DeKalb County,33.7504,-84.2333,293.7,49,1,2.06
156,Lebu,-37.6167,-73.65,285.12,88,10,4.17
157,Gouré,13.9835,10.2704,300.7,11,0,3.27
158,Dunedin,-45.8742,170.5036,279.82,80,99,7.15
159,Pucallpa,-8.3791,-74.5539,294.14,93,98,1.73
160,George Town,5.4112,100.3354,297.86,94,40,2.06
161,Sechelt,49.4664,-123.7694,287.02,71,50,1.54
162,Yulara,-25.2406,130.9889,292.15,32,0,7.2
163,Oranjemund,-28.55,16.4333,288.07,87,17,1.84
164,Mannargudi,10.6667,79.4333,301.08,76,11,2.3
165,Port Elizabeth,-33.918,25.5701,289.15,94,75,7.2
166,Târgu Ocna,46.2833,26.6167,278.83,87,90,0.51
167,Lüderitz,-26.6481,15.1594,288.57,84,21,3.66
168,Thompson,55.7435,-97.8558,282.15,49,40,5.66
169,Bonavista,48.6499,-53.1147,277.1,70,100,5.14
170,Shitanjing,39.2342,106.3439,278.6,18,7,12.87
171,Maniitsoq,65.4167,-52.9,273.88,97,100,4.6
172,Santa Fe,-31.6333,-60.7,289.79,78,1,1.59
173,Adrar,20.5022,-10.0711,300.35,20,7,5.21
174,Pevek,69.7008,170.3133,269.58,92,100,1.7
175,Tasiilaq,65.6145,-37.6368,278.15,60,75,3.38
176,Khatanga,71.9667,102.5,267.72,93,100,7.81
177,Big Spring,32.2504,-101.4787,305.15,17,1,8.75
178,Masuguru,-11.3667,38.4167,294.48,98,45,0.63
179,Macas,-2.3167,-78.1167,292.79,98,100,0.97
180,Isabela,6.7085,121.9711,299.15,83,75,1.03
181,Carutapera,-1.195,-46.02,297.87,90,78,2.12
182,Zhigansk,66.7697,123.3711,264.28,85,100,7.18
183,Nizhniy Kuranakh,58.8353,125.4869,274.44,97,100,4.13
184,San Isidro,-12.1167,-77.05,291.53,82,20,4.63
185,Lompoc,34.6391,-120.4579,284.59,62,0,8.23
186,Guánica,17.9716,-66.908,295.09,84,36,2.5
187,Dauphin,51.1494,-100.0502,284.15,50,90,2.06
188,Bengkulu,-3.8004,102.2655,299.08,79,61,1.34
189,Jalu,29.0331,21.5482,292.7,32,1,2.06
190,Umluj,25.0213,37.2685,297.83,69,0,2.92
191,Camaná,-16.6228,-72.7111,293.2,85,31,3.67
192,São João da Barra,-21.6403,-41.0511,296.06,93,15,4.47
193,Vavuniya,8.7514,80.4971,296.99,95,4,1.01
194,Kruisfontein,-34.0033,24.7314,290.37,88,79,0.45
195,Tiznit Province,29.5833,-9.5,286.52,87,0,1.03
196,Severo-Kuril'sk,50.6789,156.125,273.05,98,100,8.33
197,Christchurch,-43.5333,172.6333,284.93,50,40,5.66
198,Traverse City,44.7631,-85.6206,278.34,57,90,4.63
199,Labuhan,-6.8844,112.2051,300.25,77,14,2.96
200,Nome,64.5011,-165.4064,280.15,61,1,1.54
201,Lewiston,44.1003,-70.2148,277.21,56,1,6.17
202,Guatire,10.4762,-66.5427,301.15,74,40,1.03
203,Sur,22.5667,59.5289,302.4,37,9,4.39
204,Lagos,6.5833,3.75,301.15,83,20,1.03
205,Khovd,48.0056,91.6419,276.89,24,9,0.69
206,Canora,51.6333,-102.4343,284.15,46,40,5.14
207,Carson City,39.1638,-119.7674,283.15,23,20,5.66
208,Bonthe,7.5264,-12.505,299.86,82,21,2.17
209,Ribeira Grande,38.5167,-28.7,289.05,84,100,1.6
210,Nan,18.8333,100.6667,297.15,94,20,1.03
211,Bamnet Narong,15.4992,101.6897,297.74,85,100,3.02
212,Sangar,63.9242,127.4739,268.5,90,100,5.87
213,Komárov,49.8065,13.8564,271.87,100,12,1.8
214,Grindavik,63.8424,-22.4338,279.15,93,75,2.57
215,Vila Velha,-20.3297,-40.2925,299.15,89,75,1.03
216,Nueve de Julio,-35.4444,-60.8831,287.59,84,0,1.41
217,Lakatoro,-16.0999,167.4164,300.87,67,98,5.02
218,Kamaishi,39.2667,141.8833,282.15,46,0,1.03
219,Bucerías,20.75,-105.3333,299.71,74,75,4.12
220,Kushiro,42.975,144.3747,283.15,34,20,3.6
221,Micheweni,-4.9667,39.8333,298.84,86,100,4.25
222,Sumbe,-11.2061,13.8437,298.82,86,21,2.11
223,Langsa,4.4683,97.9683,298.23,87,100,0.72
224,Waitati,-45.75,170.5667,279.82,80,98,7.15
225,Kapit,2.0167,112.9333,300.07,83,49,0.4
226,Kumul,42.8,93.45,284.14,13,48,3.43
227,Fortuna,40.5982,-124.1573,285.69,62,1,5.66
228,Werota,11.9167,37.7,289.88,82,100,2.56
229,Russell,32.3502,-85.1999,294.09,73,1,1.54
230,Sweetwater,25.7634,-80.3731,298.19,57,20,5.14
231,Cidreira,-30.1811,-50.2056,290.23,76,0,4.38
232,Bétaré Oya,5.6,14.0833,294.59,73,14,0.76
233,Akureyri,65.6835,-18.0878,270.15,100,0,2.06
234,Kupang,-10.1667,123.5833,299.61,61,100,2.62
235,Tocopilla,-22.092,-70.1979,292.02,68,21,1.43
236,Asău,46.4333,26.4,278.15,67,100,0.71
237,Sakaiminato,35.55,133.2333,286.55,50,75,1.03
238,Broome,42.2506,-75.833,279.15,28,1,4.63
239,Kaitangata,-46.2817,169.8464,281.48,77,98,1.79
240,Kibala,9.1104,18.3463,303.15,51,0,2.21
241,Dabat,12.9842,37.765,285.55,80,100,1.78
242,Joshīmath,30.5667,79.5667,285.22,48,0,3.92
243,Vila Franca do Campo,37.7167,-25.4333,288.15,82,75,3.6
244,East London,-33.0153,27.9116,293.22,82,70,5.21
245,Seoul,37.5683,126.9778,287.18,55,0,2.06
246,Avera,33.194,-82.5271,292.57,64,1,2.25
247,Kutum,14.2,24.6667,296.32,13,100,5.33
248,Lafia,8.4833,8.5167,299.11,72,100,0.81
249,Torbay,47.6666,-52.7314,277.15,87,90,8.75
250,Aklavik,68.2191,-135.0107,267.62,45,91,4.12
251,Hobyo,5.3505,48.5268,300.9,76,100,2.81
252,Crib Point,-38.35,145.2,287.77,89,37,3.07
253,Longyearbyen,78.2186,15.6401,265.15,67,40,7.72
254,Plettenberg Bay,-34.0527,23.3716,288.5,91,12,1.2
255,Iqaluit,63.7506,-68.5145,268.15,80,90,9.77
256,Sobolevo,54.4299,31.8996,272.09,80,70,2.09
257,Lavrentiya,65.5833,-171.0,273.65,91,9,0.8
258,Suleya,55.1352,58.8792,274.83,84,72,2.07
259,Krasnaya Polyana,56.242,51.1442,274.93,74,41,1.73
260,Rawson,-43.3002,-65.1023,290.89,41,15,3.23
261,Pozo Colorado,-23.4923,-58.7972,287.8,62,0,2.54
262,Prabumulih,-3.45,104.25,299.5,79,10,1.7
263,Maţāy,28.419,30.7792,289.58,65,0,5.26
264,Pierre,44.3683,-100.351,288.35,59,1,8.75
265,Atambua,-9.1061,124.8925,299.1,47,10,0.69
266,Srandakan,-7.9386,110.2506,300.13,75,95,1.8
267,Manokwari,-0.8667,134.0833,301.81,68,51,2.37
268,Quatre Cocos,-20.2078,57.7625,297.67,94,75,3.6
269,Alofi,-19.0595,-169.9187,303.15,70,83,4.63
270,San Patricio,28.017,-97.5169,297.07,83,75,6.69
271,Nouadhibou,20.931,-17.0347,292.15,88,0,6.69
272,Arlit,18.7369,7.3853,305.48,10,85,3.77
273,Zliten,32.4674,14.5687,295.29,39,100,9.1
274,Payson,40.0444,-111.7321,278.81,81,90,7.2
275,Dombarovskiy,50.7587,59.5386,283.21,91,100,7.45
276,Morgan City,29.6994,-91.2068,297.15,69,1,4.12
277,Verkhnyaya Inta,65.9811,60.3094,275.28,98,100,5.09
278,Chaves,33.3834,-104.4505,304.15,4,1,12.86
279,Hofn,64.2539,-15.2082,276.65,69,28,0.75
280,Shulan,44.4167,126.95,285.55,68,100,7.05
281,Praia,14.9215,-23.5087,294.15,73,75,7.72
282,Faanui,-16.4833,-151.75,300.47,68,100,1.96
283,Bay-Khaak,51.1667,94.5,277.42,41,66,1.14
284,Eldorado,-23.7869,-54.2836,287.84,74,0,2.27
285,Octeville,49.6261,-1.6435,280.54,81,0,4.63
286,Alice Springs,-23.7,133.8833,294.15,28,0,7.2
287,Provincia di Imperia,43.9667,7.7833,287.21,59,100,4.92
288,Pangnirtung,66.1451,-65.7125,274.53,98,100,1.44
289,Abashiri,44.0213,144.2697,280.15,57,20,1.54
290,Terme,41.2092,36.9739,280.15,87,75,1.03
291,Odesskoye,54.2111,72.9651,281.67,88,100,3.83
292,Ilulissat,69.2167,-51.1,282.15,46,40,6.17
293,Aykhal,66.0,111.5,261.72,92,100,6.39
294,Hamilton,39.1834,-84.5333,293.79,40,1,2.57
295,Yen Bai,21.7,104.8667,295.34,94,100,0.82
296,Korla,41.7597,86.1469,286.85,29,46,2.26
297,Cockburn Town,21.4612,-71.1419,298.97,74,0,6.28
298,Palmer,42.1584,-72.3287,282.13,34,20,5.14
299,Palu,-0.8917,119.8707,304.01,62,33,0.77
300,Meulaboh,4.1363,96.1285,298.89,86,93,1.29
301,Langham,52.3668,-106.9679,288.15,23,75,7.72
302,Lucea,18.451,-78.1736,299.68,74,20,1.54
303,Ballina,-28.8667,153.5667,293.83,68,40,4.63
304,Severo-Yeniseyskiy,60.3725,93.0408,274.33,75,12,2.19
305,Astoria,46.1879,-123.8313,285.49,71,1,6.69
306,Boyolangu,-8.1181,111.8935,299.59,80,38,2.66
307,Ostrovnoy,68.0531,39.5131,271.71,71,100,6.39
308,Altamira,-3.2033,-52.2064,296.3,97,100,0.6
309,Teixoso,40.3145,-7.4576,281.99,97,23,0.57
310,São Filipe,14.8961,-24.4956,295.49,75,95,3.52
311,Faya,18.3851,42.4509,287.14,82,0,1.41
312,Kahului,20.8947,-156.47,298.6,57,20,3.09
313,Mackenzie,55.2999,-123.1698,289.15,17,75,4.12
314,Deputatsky,69.3,139.9,270.96,94,100,1.07
315,Yakeshi,49.2833,120.7333,277.03,54,100,11.47
316,Kodinsk,58.6881,99.1844,274.32,69,2,1.53
317,Port Blair,11.6667,92.75,301.15,71,95,1.77
318,Sarakhs,36.5449,61.1577,291.15,34,0,2.06
319,Vila,42.0304,-8.1588,282.59,92,42,1.34
320,Praia da Vitória,38.7333,-27.0667,288.96,88,75,3.07
321,Djibouti,11.5,42.5,299.15,78,75,2.12
322,Barra Patuca,15.8,-84.2833,299.6,69,8,5.6
323,Keti Bandar,24.1447,67.4497,299.47,78,0,3.83
324,Devils Lake,48.1128,-98.8651,284.21,58,1,1.54
325,Nyurba,63.2842,118.3319,266.53,68,100,4.29
326,College,64.8569,-147.8028,284.98,30,20,6.69
327,Sovetskiy,61.3614,63.5842,275.8,88,100,3.64
328,Orocué,4.7912,-71.3354,303.02,57,94,2.04
329,Imbituba,-28.24,-48.6703,293.15,60,75,1.54
330,Lālsot,26.5667,76.3333,299.15,18,0,1.41
331,Kieta,-6.2167,155.6333,303.54,64,80,1.65
332,Salalah,17.0151,54.0924,300.15,74,20,2.06
333,Ponte Nova,-20.4164,-42.9086,293.28,83,73,0.37
334,Mahébourg,-20.4081,57.7,297.15,94,75,3.6
335,Jandaia do Sul,-23.6031,-51.6433,293.35,59,0,2.06
336,Chapais,49.7834,-74.8492,274.15,69,90,4.12
337,Sambava,-14.2667,50.1667,296.59,91,45,3.81
338,Bambous Virieux,-20.3428,57.7575,297.62,94,75,3.6
339,Mikhaylovka,50.06,43.2379,279.26,93,100,1.79
340,Muroto-misakicho,33.2833,134.15,291.15,55,75,1.03
341,Ossora,59.2353,163.0719,273.53,98,100,1.97
342,Saint-François,46.4154,3.9054,280.51,93,0,1.03
343,Bac Lieu,9.285,105.7244,302.27,70,76,2.32
344,Pelym,61.0108,61.9978,276.26,76,100,4.16
345,Egvekinot,66.3167,-179.1667,269.7,92,68,1.49
346,Assaí,-23.3733,-50.8414,295.15,56,0,3.09
347,Whitehorse,60.7161,-135.0538,288.15,23,40,8.23
348,Yavoriv,49.9386,23.3825,275.31,75,0,1.0
349,Kudahuvadhoo,2.6708,72.8944,301.21,73,82,2.61
350,Saint George,37.1041,-113.5841,286.62,47,1,7.2
351,Tombouctou,20.0,-3.0,304.58,13,11,5.09
352,Kitimat,54.0524,-128.6534,289.26,41,67,1.34
353,Mongu,-15.2484,23.1274,291.65,78,97,1.19
354,Horsham,51.064,-0.3272,275.43,81,0,1.03
355,Petropavlovsk-Kamchatskiy,53.0452,158.6483,274.15,100,90,2.0
356,Karratha,-20.7377,116.8463,301.02,21,0,6.34
357,Santa Cruz de La Palma,28.6835,-17.7642,290.53,73,90,2.06
358,Lensk,60.7253,114.9278,267.71,70,100,2.95
359,Palmira,3.5394,-76.3036,295.15,88,75,3.09
360,Cutro,39.0353,16.9819,283.15,82,100,0.45
361,Westport,41.1415,-73.3579,285.02,19,1,7.2
362,Batemans Bay,-35.7167,150.1833,291.48,53,0,1.87
363,Dingtao,35.0683,115.5625,293.43,34,99,5.51
364,Puri,19.8,85.85,301.15,89,40,4.63
365,Oktyabr'skoye,43.0645,44.7417,283.15,93,100,5.0
366,Olafsvik,64.8945,-23.7142,279.09,62,0,2.94
367,Tuatapere,-46.1333,167.6833,282.04,70,92,4.92
368,Port Macquarie,-31.4333,152.9167,295.08,62,0,0.89
369,Atbasar,51.8,68.3333,282.91,90,100,2.12
370,Lagoa,39.05,-27.9833,288.3,90,100,5.61
371,Pisco,-13.7,-76.2167,291.48,92,3,3.13
372,Cabedelo,-6.9811,-34.8339,298.15,88,20,2.06
373,Houma,29.5958,-90.7195,295.15,73,1,3.6
374,Krasnovishersk,60.4078,57.082,274.21,94,100,2.25
375,Puieşti,46.4167,27.5,279.21,87,90,0.51
376,Cururupu,-1.8283,-44.8683,296.98,93,81,1.24
377,Edson,53.5835,-116.4356,287.15,17,40,9.26
378,Clyde River,70.4692,-68.5914,269.15,100,90,1.54
379,Harper,4.375,-7.7169,299.89,83,31,2.99
380,Kuril'sk,45.2333,147.8833,272.47,60,5,10.4
381,Curuçá,-0.7289,-47.8481,296.86,92,53,1.31
382,Raton,36.9034,-104.4391,293.86,6,1,9.26
383,Makakilo City,21.3469,-158.0858,299.56,57,40,4.63
384,Boguchany,58.3814,97.4531,275.65,75,35,2.63
385,Fare,-16.7,-151.0167,300.44,66,9,0.42
386,Manavālakurichi,8.1333,77.3,301.15,83,40,2.61
387,São Francisco do Sul,-26.2433,-48.6381,290.03,83,75,2.57
388,Kattivākkam,13.2167,80.3167,300.15,83,20,1.03
389,San Cristobal,7.7669,-72.225,301.15,74,40,2.57
390,Kavaratti,10.5669,72.642,302.22,72,6,3.16
391,Ugoofaaru,5.6667,73.0,301.79,72,98,3.4
392,Borazjan,29.2666,51.2159,302.09,14,99,2.25
393,Ngunguru,-35.6167,174.5,293.71,71,57,1.34
394,Alyangula,-13.8483,136.4192,298.15,100,75,4.63
395,Ust-Nera,64.5667,143.2,270.75,84,100,1.85
396,Nové Město pod Smrkem,50.9249,15.2294,271.37,81,1,1.71
397,Tela,15.7833,-87.45,303.15,79,20,4.12
398,Rio Grande,-32.035,-52.0986,284.26,93,2,5.49
399,Marabba,12.35,32.1833,300.12,55,48,5.51
400,Sinnamary,5.3833,-52.95,298.3,89,100,5.01
401,Onega,63.9061,38.1404,272.35,86,97,3.75
402,Caramay,10.1815,119.236,301.69,71,100,3.27
403,Kyzyl,51.7,94.45,277.72,46,95,1.4
404,Ntcheu,-14.8203,34.6359,290.35,96,77,0.76
405,San Francisco,37.7749,-122.4194,285.97,47,75,12.35
406,Osterhofen,48.7,13.0167,275.93,100,36,2.98
407,Charters Towers,-20.1,146.2667,297.23,44,74,5.59
408,Arkhangelsk,64.5401,40.5433,273.15,80,90,3.0
409,Goderich,43.7501,-81.7165,280.15,45,100,3.09
410,Andalan,5.9594,121.3903,301.21,69,80,0.99
411,Half Moon Bay,37.4636,-122.4286,286.14,71,1,6.69
412,Bauchi,10.5,10.0,300.48,40,5,1.81
413,Constantine,36.365,6.6147,284.15,93,0,1.54
414,Los Llanos de Aridane,28.6585,-17.9182,289.77,73,90,2.06
415,Jimo,36.3897,120.4622,289.15,82,40,3.0
416,Zyryanka,65.75,150.85,270.1,74,15,6.73
417,Nandigāma,16.7833,80.3,300.15,89,40,1.03
418,Kununurra,-15.7667,128.7333,302.15,54,90,3.09
419,Haines Junction,60.7522,-137.5108,285.15,24,12,4.12
420,Auki,-8.7676,160.7034,301.8,77,100,1.68
421,Nuuk,64.1835,-51.7216,274.98,93,90,2.57
422,Garhi Khairo,28.0606,67.9803,303.64,19,0,4.08
423,Balabac,7.9868,117.0645,302.09,68,26,1.89
424,Madang,-5.2246,145.7966,303.25,62,76,0.26
425,Ville-Marie,47.3335,-79.433,279.15,49,1,3.09
426,Chute-aux-Outardes,49.1168,-68.399,280.15,87,90,3.6
427,Kul'dur,49.2167,131.6333,286.03,30,72,5.49
428,Broken Hill,-31.95,141.4333,291.15,39,5,1.54
429,Ishigaki,24.3448,124.1572,297.15,64,20,5.14
430,Sørland,67.667,12.6934,275.82,57,47,7.19
431,Itaituba,-4.2761,-55.9836,296.02,99,100,0.69
432,Beloha,-25.1667,45.05,294.41,74,0,2.46
433,Mabaruma,8.2,-59.7833,296.1,96,82,1.74
434,Lynn,42.4668,-70.9495,282.25,37,1,5.66
435,Lismore,-28.8135,153.2773,293.37,64,40,4.63
436,Jutaí,-5.1833,-68.9,296.23,97,97,1.2
437,Bambanglipuro,-7.95,110.2833,300.1,76,96,1.93
438,Iracoubo,5.4802,-53.2011,298.33,89,100,5.26
439,Kloulklubed,7.0419,134.2556,301.15,83,75,2.06
440,Province of Mantua,45.1667,10.7833,284.43,91,100,0.89
441,Krasnosel'kup,65.7,82.4667,272.42,89,9,7.12
442,Turaif,31.6725,38.6637,286.15,76,0,6.17
443,Buin,-33.7333,-70.75,291.21,48,0,3.09
444,Dafeng,23.4517,108.5881,291.99,94,100,1.33
445,Mazagão,-0.115,-51.2894,300.15,83,75,3.09
446,San Luis,-33.295,-66.3356,287.42,66,0,1.77
447,Flinders,-34.5833,150.8552,294.5,64,0,0.45
448,Esim,4.8699,-2.2405,300.09,87,100,2.47
449,Talaya,61.3833,152.75,265.73,56,6,1.05
450,Dalmau,26.0667,81.0333,301.3,6,0,2.52
